Date,Open,High,Low,Close,Change,Volume
2021-10-01 15:30:00,20100,20100,20050,20100,0,107200000
2021-10-01 15:15:00,20100,20100,20000,20050,0,231650000
2021-10-01 15:00:00,20200,20200,20050,20100,0,151330000
2021-10-01 14:45:00,20200,20250,20200,20200,0,65430000
2021-10-01 14:30:00,20150,20250,20150,20200,0,76030000
2021-10-01 14:15:00,20200,20200,20150,20150,0,107270000
2021-10-01 14:00:00,20200,20200,20150,20200,0,57440000
2021-10-01 13:45:00,20250,20250,20200,20200,0,60490000
2021-10-01 13:30:00,20300,20300,20200,20250,0,67810000
2021-10-01 13:15:00,20350,20350,20250,20300,0,76190000
2021-10-01 13:00:00,20300,20350,20250,20350,0,35900000
2021-10-01 12:45:00,20200,20300,20200,20300,0,26390000
2021-10-01 12:30:00,20250,20250,20200,20200,0,16830000
2021-10-01 12:15:00,20250,20300,20200,20250,0,29120000
2021-10-01 12:00:00,20250,20300,20150,20300,0,80150000
2021-10-01 11:45:00,20300,20300,20200,20250,0,80320000
2021-10-01 11:30:00,20200,20300,20150,20300,0,69100000
2021-10-01 11:15:00,20250,20300,20200,20250,0,55210000
2021-10-01 11:00:00,20100,20400,20050,20250,0,124130000
2021-10-01 10:45:00,20300,20300,20000,20050,0,563140000
2021-10-01 10:30:00,20350,20400,20300,20300,0,147050000
2021-10-01 10:15:00,20450,20450,20300,20400,0,118400000
2021-10-01 10:00:00,20500,20500,20400,20400,0,53890000
2021-10-01 09:45:00,20550,20600,20400,20450,0,104090000
2021-10-01 09:30:00,20750,20750,20550,20600,0,44420000
2021-10-01 09:15:00,20450,20800,20450,20700,0,144970000
2021-09-30 15:30:00,20600,20700,20550,20700,0,220350000
2021-09-30 15:15:00,20650,20700,20600,20600,0,195680000
2021-09-30 15:00:00,20700,20700,20600,20700,0,150710000
2021-09-30 14:45:00,20650,20700,20650,20700,0,110210000
2021-09-30 14:30:00,20650,20650,20600,20650,0,53230000
2021-09-30 14:15:00,20700,20700,20650,20650,0,128330000
2021-09-30 14:00:00,20700,20750,20650,20650,0,105890000
2021-09-30 13:45:00,20700,20750,20700,20700,0,33110000
2021-09-30 13:30:00,20700,20750,20700,20750,0,82650000
2021-09-30 13:15:00,20750,20750,20700,20700,0,170550000
2021-09-30 13:00:00,20700,20750,20700,20750,0,59330000
2021-09-30 12:45:00,20650,20700,20650,20700,0,255500000
2021-09-30 12:30:00,20600,20650,20550,20650,0,311280000
2021-09-30 12:15:00,20650,20650,20550,20600,0,68540000
2021-09-30 12:00:00,20600,20750,20600,20650,0,113710000
2021-09-30 11:45:00,20450,20600,20450,20600,0,331960000
2021-09-30 11:30:00,20450,20500,20400,20500,0,137230000
2021-09-30 11:15:00,20400,20450,20350,20400,0,87820000
2021-09-30 11:00:00,20350,20450,20350,20400,0,71540000
2021-09-30 10:45:00,20400,20450,20350,20400,0,100770000
2021-09-30 10:30:00,20400,20400,20300,20350,0,56570000
2021-09-30 10:15:00,20350,20400,20350,20400,0,29050000
2021-09-30 10:00:00,20350,20400,20300,20350,0,104180000
2021-09-30 09:45:00,20400,20400,20250,20350,0,87800000
2021-09-30 09:30:00,20300,20400,20300,20400,0,23130000
2021-09-30 09:15:00,20350,20450,20200,20300,0,122840000
2021-09-29 15:30:00,20350,20350,20250,20350,0,156920000
2021-09-29 15:15:00,20350,20350,20300,20350,0,99280000
2021-09-29 15:00:00,20250,20350,20250,20300,0,118770000
2021-09-29 14:45:00,20250,20250,20150,20250,0,122180000
2021-09-29 14:30:00,20300,20300,20200,20250,0,61400000
2021-09-29 14:15:00,20400,20400,20300,20300,0,91920000
2021-09-29 14:00:00,20250,20450,20250,20400,0,253460000
2021-09-29 13:45:00,20200,20250,20150,20250,0,102520000
2021-09-29 13:30:00,20100,20200,20100,20150,0,216910000
2021-09-29 13:15:00,20150,20150,20050,20100,0,42480000
2021-09-29 13:00:00,20150,20150,20100,20150,0,13570000
2021-09-29 12:45:00,20050,20150,20050,20100,0,39190000
2021-09-29 12:30:00,19950,20050,19950,20050,0,76600000
2021-09-29 12:15:00,19950,20000,19950,19950,0,164840000
2021-09-29 12:00:00,19950,20000,19900,19950,0,43000000
2021-09-29 11:45:00,20050,20050,19900,19950,0,199860000
2021-09-29 11:30:00,20050,20050,20050,20050,0,70070000
2021-09-29 11:15:00,20050,20050,20000,20050,0,94620000
2021-09-29 11:00:00,20050,20100,20000,20100,0,42310000
2021-09-29 10:45:00,20100,20150,20000,20100,0,263080000
2021-09-29 10:30:00,20250,20250,20100,20100,0,59400000
2021-09-29 10:15:00,20250,20300,20100,20200,0,88330000
2021-09-29 10:00:00,20350,20400,20250,20250,0,58880000
2021-09-29 09:45:00,20150,20400,20100,20350,0,161940000
2021-09-29 09:30:00,20100,20200,20050,20150,0,99350000
2021-09-29 09:15:00,19800,20250,19800,20000,0,772290000
2021-09-28 15:30:00,20550,20600,20450,20450,0,161460000
2021-09-28 15:15:00,20550,20600,20500,20550,0,75250000
2021-09-28 15:00:00,20450,20600,20450,20600,0,92380000
2021-09-28 14:45:00,20600,20600,20450,20450,0,134300000
2021-09-28 14:30:00,20550,20600,20500,20600,0,44810000
2021-09-28 14:15:00,20550,20550,20500,20500,0,49800000
2021-09-28 14:00:00,20500,20600,20450,20550,0,130820000
2021-09-28 13:45:00,20550,20550,20400,20450,0,79320000
2021-09-28 13:30:00,20500,20550,20450,20550,0,69540000
2021-09-28 13:15:00,20650,20650,20500,20550,0,38200000
2021-09-28 13:00:00,20650,20650,20600,20650,0,16690000
2021-09-28 12:45:00,20650,20650,20500,20650,0,51330000
2021-09-28 12:30:00,20650,20650,20500,20650,0,40450000
2021-09-28 12:15:00,20600,20650,20550,20650,0,48710000
2021-09-28 12:00:00,20600,20650,20550,20650,0,53970000
2021-09-28 11:45:00,20500,20600,20450,20600,0,33860000
2021-09-28 11:30:00,20500,20550,20450,20500,0,36190000
2021-09-28 11:15:00,20350,20550,20300,20500,0,107610000
2021-09-28 11:00:00,20250,20350,20100,20350,0,168800000
2021-09-28 10:45:00,20250,20300,20100,20250,0,370740000
2021-09-28 10:30:00,20250,20350,20250,20250,0,50500000
2021-09-28 10:15:00,20300,20350,20200,20250,0,196610000
2021-09-28 10:00:00,20250,20350,20150,20300,0,255190000
2021-09-28 09:45:00,20350,20450,20250,20250,0,239070000
2021-09-28 09:30:00,20650,20650,20300,20350,0,290740000
2021-09-28 09:15:00,20600,20700,20500,20650,0,93370000
2021-09-27 15:30:00,20650,20700,20600,20700,0,128230000
2021-09-27 15:15:00,20700,20700,20600,20650,0,94260000
2021-09-27 15:00:00,20700,20700,20600,20700,0,26930000
2021-09-27 14:45:00,20600,20700,20500,20650,0,85290000
2021-09-27 14:30:00,20550,20700,20500,20600,0,185900000
2021-09-27 14:15:00,20800,20800,20550,20550,0,336120000
2021-09-27 14:00:00,20900,20950,20750,20800,0,78390000
2021-09-27 13:45:00,20900,20950,20850,20900,0,29840000
2021-09-27 13:30:00,20900,20900,20850,20900,0,9510000
2021-09-27 13:15:00,20900,20900,20900,20900,0,7900000
2021-09-27 13:00:00,20950,20950,20800,20900,0,19530000
2021-09-27 12:45:00,20850,20950,20850,20950,0,11710000
2021-09-27 12:30:00,20950,21000,20800,20800,0,77790000
2021-09-27 12:15:00,21000,21000,20900,20950,0,6630000
2021-09-27 12:00:00,21000,21000,20950,20950,0,32400000
2021-09-27 11:45:00,21000,21000,20950,21000,0,16190000
2021-09-27 11:30:00,21000,21000,20950,21000,0,14280000
2021-09-27 11:15:00,20950,21000,20900,21000,0,43260000
2021-09-27 11:00:00,20950,20950,20850,20900,0,24450000
2021-09-27 10:45:00,20900,20950,20850,20950,0,24560000
2021-09-27 10:30:00,20950,20950,20750,20900,0,45010000
2021-09-27 10:15:00,21000,21050,20850,20950,0,44770000
2021-09-27 10:00:00,21150,21150,20950,21000,0,39540000
2021-09-27 09:45:00,20700,21300,20650,21100,0,474850000
2021-09-27 09:30:00,20750,20850,20650,20650,0,355260000
2021-09-27 09:15:00,21250,21250,20600,20750,0,232360000
2021-09-24 15:30:00,20950,21000,20900,21000,0,136720000
2021-09-24 15:15:00,20950,21000,20900,20950,0,22810000
2021-09-24 15:00:00,20950,21000,20900,20950,0,24480000
2021-09-24 14:45:00,20950,21000,20900,20950,0,56190000
2021-09-24 14:30:00,20900,20950,20900,20950,0,20040000
2021-09-24 14:15:00,20950,20950,20900,20950,0,13520000
2021-09-24 14:00:00,21000,21000,20900,21000,0,37530000
2021-09-24 13:45:00,21000,21000,20950,20950,0,6110000
2021-09-24 13:30:00,20900,21000,20900,21000,0,13370000
2021-09-24 13:15:00,20950,21000,20900,20950,0,93330000
2021-09-24 13:00:00,20950,21000,20950,21000,0,7700000
2021-09-24 12:45:00,21000,21000,20950,21000,0,3440000
2021-09-24 12:30:00,20950,21000,20950,21000,0,78090000
2021-09-24 12:15:00,20950,21000,20950,20950,0,16950000
2021-09-24 12:00:00,21000,21000,20950,20950,0,5680000
2021-09-24 11:45:00,20950,21000,20950,21000,0,32720000
2021-09-24 11:30:00,20900,21000,20900,20950,0,39790000
2021-09-24 11:15:00,20950,21050,20950,20950,0,92630000
2021-09-24 11:00:00,21100,21100,20950,20950,0,42230000
2021-09-24 10:45:00,21100,21100,21050,21050,0,35790000
2021-09-24 10:30:00,21150,21150,21050,21100,0,28830000
2021-09-24 10:15:00,21050,21200,21050,21150,0,47160000
2021-09-24 10:00:00,21100,21200,21100,21100,0,67410000
2021-09-24 09:45:00,21050,21200,21000,21050,0,118910000
2021-09-24 09:30:00,21100,21150,21000,21150,0,52540000
2021-09-24 09:15:00,20800,21300,20800,21100,0,133720000
2021-09-23 15:30:00,21050,21100,20950,20950,0,156000000
2021-09-23 15:15:00,21100,21100,21000,21050,0,66060000
2021-09-23 15:00:00,21100,21150,21000,21100,0,92060000
2021-09-23 14:45:00,21050,21100,21000,21100,0,70950000
2021-09-23 14:30:00,20950,21050,20950,21050,0,29560000
2021-09-23 14:15:00,20950,21000,20900,21000,0,98170000
2021-09-23 14:00:00,21000,21000,20900,20950,0,39600000
2021-09-23 13:45:00,20900,21000,20850,21000,0,27760000
2021-09-23 13:30:00,20900,20900,20800,20850,0,110530000
2021-09-23 13:15:00,20950,20950,20850,20900,0,27390000
2021-09-23 13:00:00,21000,21000,20700,20950,0,313390000
2021-09-23 12:45:00,21000,21000,20900,21000,0,25900000
2021-09-23 12:30:00,21050,21050,20950,21000,0,18780000
2021-09-23 12:15:00,20900,21050,20800,20950,0,333220000
2021-09-23 12:00:00,21000,21050,20800,20800,0,255420000
2021-09-23 11:45:00,21100,21100,20900,20900,0,139060000
2021-09-23 11:30:00,21150,21150,21050,21100,0,50800000
2021-09-23 11:15:00,21150,21200,21050,21150,0,90770000
2021-09-23 11:00:00,21050,21200,21050,21200,0,76700000
