code,name,section
A000020,동화약품,KOSPI
A000040,KR모터스,KOSPI
A000050,경방,KOSPI
A000060,메리츠화재,KOSPI
A000070,삼양홀딩스,KOSPI
A000075,삼양홀딩스우,KOSPI
A000080,하이트진로,KOSPI
A000087,하이트진로2우B,KOSPI
A000100,유한양행,KOSPI
A000105,유한양행우,KOSPI
A000120,CJ대한통운,KOSPI
A000140,하이트진로홀딩스,KOSPI
A000145,하이트진로홀딩스우,KOSPI
A000150,두산,KOSPI
A000155,두산우,KOSPI
A000157,두산2우B,KOSPI
A000180,성창기업지주,KOSPI
A000210,DL,KOSPI
A000215,DL우,KOSPI
A000220,유유제약,KOSPI
A000225,유유제약1우,KOSPI
A000227,유유제약2우B,KOSPI
A000230,일동홀딩스,KOSPI
A000240,한국앤컴퍼니,KOSPI
A000270,기아,KOSPI
A000300,대유플러스,KOSPI
A000320,노루홀딩스,KOSPI
A000325,노루홀딩스우,KOSPI
A000370,한화손해보험,KOSPI
A000390,삼화페인트,KOSPI
A000400,롯데손해보험,KOSPI
A000430,대원강업,KOSPI
A000480,조선내화,KOSPI
A000490,대동,KOSPI
A000500,가온전선,KOSPI
A000520,삼일제약,KOSPI
A000540,흥국화재,KOSPI
A000545,흥국화재우,KOSPI
A000547,흥국화재2우B,KOSPI
A000590,CS홀딩스,KOSPI
A000640,동아쏘시오홀딩스,KOSPI
A000650,천일고속,KOSPI
A000660,SK하이닉스,KOSPI
A000670,영풍,KOSPI
A000680,LS네트웍스,KOSPI
A000700,유수홀딩스,KOSPI
A000720,현대건설,KOSPI
A000725,현대건설우,KOSPI
A000760,이화산업,KOSPI
A000810,삼성화재,KOSPI
A000815,삼성화재우,KOSPI
A000850,화천기공,KOSPI
A000860,강남제비스코,KOSPI
A000880,한화,KOSPI
A000885,한화우,KOSPI
A00088K,한화3우B,KOSPI
A000890,보해양조,KOSPI
A000910,유니온,KOSPI
A000950,전방,KOSPI
A000970,한국주철관,KOSPI
A000990,DB하이텍,KOSPI
A000995,DB하이텍1우,KOSPI
A001020,페이퍼코리아,KOSPI
A001040,CJ,KOSPI
A001045,CJ우,KOSPI
A00104K,CJ4우(전환),KOSPI
A001060,JW중외제약,KOSPI
A001065,JW중외제약우,KOSPI
A001067,JW중외제약2우B,KOSPI
A001070,대한방직,KOSPI
A001080,만호제강,KOSPI
A001120,LX인터내셔널,KOSPI
A001130,대한제분,KOSPI
A001140,국보,KOSPI
A001200,유진투자증권,KOSPI
A001210,금호전기,KOSPI
A001230,동국제강,KOSPI
A001250,GS글로벌,KOSPI
A001260,남광토건,KOSPI
A001270,부국증권,KOSPI
A001275,부국증권우,KOSPI
A001290,상상인증권,KOSPI
A001340,백광산업,KOSPI
A001360,삼성제약,KOSPI
A001380,SG글로벌,KOSPI
A001390,KG케미칼,KOSPI
A001420,태원물산,KOSPI
A001430,세아베스틸,KOSPI
A001440,대한전선,KOSPI
A001450,현대해상,KOSPI
A001460,BYC,KOSPI
A001465,BYC우,KOSPI
A001470,삼부토건,KOSPI
A001500,현대차증권,KOSPI
A001510,SK증권,KOSPI
A001515,SK증권우,KOSPI
A001520,동양,KOSPI
A001525,동양우,KOSPI
A001527,동양2우B,KOSPI
A001529,동양3우B,KOSPI
A001530,DI동일,KOSPI
A001550,조비,KOSPI
A001560,제일연마,KOSPI
A001570,금양,KOSPI
A001620,케이비아이동국실업,KOSPI
A001630,종근당홀딩스,KOSPI
A001680,대상,KOSPI
A001685,대상우,KOSPI
A001720,신영증권,KOSPI
A001725,신영증권우,KOSPI
A001740,SK네트웍스,KOSPI
A001745,SK네트웍스우,KOSPI
A001750,한양증권,KOSPI
A001755,한양증권우,KOSPI
A001770,SHD,KOSPI
A001780,알루코,KOSPI
A001790,대한제당,KOSPI
A001795,대한제당우,KOSPI
A001800,오리온홀딩스,KOSPI
A001820,삼화콘덴서,KOSPI
A001880,DL건설,KOSPI
A001940,KISCO홀딩스,KOSPI
A002020,코오롱,KOSPI
A002025,코오롱우,KOSPI
A002030,아세아,KOSPI
A002070,비비안,KOSPI
A002100,경농,KOSPI
A002140,고려산업,KOSPI
A002150,도화엔지니어링,KOSPI
A002170,삼양통상,KOSPI
A002200,한국수출포장,KOSPI
A002210,동성제약,KOSPI
A002220,한일철강,KOSPI
A002240,고려제강,KOSPI
A002270,롯데푸드,KOSPI
A002310,아세아제지,KOSPI
A002320,한진,KOSPI
A002350,넥센타이어,KOSPI
A002355,넥센타이어1우B,KOSPI
A002360,SH에너지화학,KOSPI
A002380,KCC,KOSPI
A002390,한독,KOSPI
A002410,범양건영,KOSPI
A002420,세기상사,KOSPI
A002450,삼익악기,KOSPI
A002460,화성산업,KOSPI
A002600,조흥,KOSPI
A002620,제일파마홀딩스,KOSPI
A002630,오리엔트바이오,KOSPI
A002690,동일제강,KOSPI
A002700,신일전자,KOSPI
A002710,TCC스틸,KOSPI
A002720,국제약품,KOSPI
A002760,보락,KOSPI
A002780,진흥기업,KOSPI
A002785,진흥기업우B,KOSPI
A002787,진흥기업2우B,KOSPI
A002790,아모레G,KOSPI
A002795,아모레G우,KOSPI
A00279K,아모레G3우(전환),KOSPI
A002810,삼영무역,KOSPI
A002820,SUN&L,KOSPI
A002840,미원상사,KOSPI
A002870,신풍제지,KOSPI
A002880,대유에이텍,KOSPI
A002900,TYM,KOSPI
A002920,유성기업,KOSPI
A002960,한국쉘석유,KOSPI
A002990,금호건설,KOSPI
A002995,금호건설우,KOSPI
A003000,부광약품,KOSPI
A003010,혜인,KOSPI
A003030,세아제강지주,KOSPI
A003060,에이프로젠제약,KOSPI
A003070,코오롱글로벌,KOSPI
A003075,코오롱글로벌우,KOSPI
A003080,성보화학,KOSPI
A003090,대웅,KOSPI
A003120,일성신약,KOSPI
A003160,디아이,KOSPI
A003200,일신방직,KOSPI
A003220,대원제약,KOSPI
A003230,삼양식품,KOSPI
A003240,태광산업,KOSPI
A003280,흥아해운,KOSPI
A003300,한일홀딩스,KOSPI
A003350,한국화장품제조,KOSPI
A003410,쌍용C&E,KOSPI
A003460,유화증권,KOSPI
A003465,유화증권우,KOSPI
